Part Number,Shaft Size d,Total Width,Static Load Rating,Dynamic Load Rating,Seal Type,Housing Construction,CAD,Series,Shaft Size d,Bearing Type,Bearing Number,Seal Type,Housing Construction,Alternate Part Name,Base to Center Height H,Total Length L,Total Width A,Bolt Hole Spacing J,Bolt Hole Width N,Bolt Hole Length N1,Foot Height H1,Total Height H2,Inside Ring Width B,Dimension S1,Dimension F,Static Load Rating,Dynamic Load Rating
SAS1,1 in,35.7 mm / 1.406 in,7800 N / 1750 lbf,15500 N / 3490 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 in,Ball Bearing,GYA100RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS1,36.51 mm/1.437 in,139.7 mm/5.5 in,35.7 mm/1.406 in,104.8 mm/4.126 in,11.1 mm/0.437 in,20.6 mm/0.811 in,15.1 mm,71.4 mm/2.811 in,28.2 mm/1.11 in,19.36 mm/0.762 in,33.7 mm/1.327 in,7800 N/1750 lbf,15500 N/3490 lbf
YASM1,1 in,39.7 mm / 1.563 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 in,Ball Bearing,GYM1100KRRB,Shroud Seal,Two-Bolt Pillow Block,YASM1,42.86 mm/1.687 in,157.2 mm/6.189 in,39.7 mm/1.563 in,117.5 mm/4.626 in,14.22 mm/0.56 in,23.88 mm/0.94 in,16.7 mm,83.3 mm/3.28 in,38.1 mm/1.5 in,22.22 mm/0.875 in,40.31 mm/1.5870 in,11300 N/2530 lbf,21600 N/4850 lbf
YAK1 PT SGT,1 in,37.3 mm / 1.469 in,7800 N / 1750 lbf,15500 N / 3490 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 in,Ball Bearing,GY1100KRRB TDCF SGT,Shroud Seal,Two-Bolt Pillow Block,YAK1 PT SGT,33.34 mm/1.313 in,139.7 mm/5.5 in,37.3 mm/1.469 in,104.8 mm/4.126 in,11.1 mm/0.437 in,20.6 mm/0.811 in,11.9 mm,70 mm/2.756 in,34.85 mm/1.372 in,20.56 mm/0.809 in,33.83 mm/1.332 in,7800 N/1750 lbf,15500 N/3490 lbf
YAS1 PT SGT,1 in,37.3 mm / 1.469 in,7800 N / 1750 lbf,15500 N / 3490 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 in,Ball Bearing,GY1100KRRB TDCF SGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 PT SGT,36.51 mm/1.437 in,139.7 mm/5.5 in,37.3 mm/1.469 in,104.8 mm/4.126 in,11.1 mm/0.437 in,20.6 mm/0.811 in,15.1 mm,73 mm/2.874 in,34.85 mm/1.372 in,20.56 mm/0.809 in,33.83 mm/1.332 in,7800 N/1750 lbf,15500 N/3490 lbf
KAK 1 PS,1 in,37.3 mm / 1.469 in,1067 N / 240 lbf,,Shroud Seal ,Two-Bolt Pillow Block ,,PS,1 in,Ball Bearing,GKY100RRB,Shroud Seal,Two-Bolt Pillow Block,KAK 1,33.34 mm/1.313 in,139.7 mm/5.5 in,37.3 mm/1.469 in,104.78 mm/4 1/8 in,11.1 mm/0.437 in,20.6 mm/0.811 in,11.9 mm,70 mm/2.756 in,28.12 mm/1.107 in,20.62 mm/0.812 in,33.6 mm/1.323 in,1067 N/240 lbf,
KAS 1 PS,1 in,37.3 mm / 1.469 in,1067 N / 240 lbf,,Shroud Seal ,Two-Bolt Pillow Block ,,PS,1 in,Ball Bearing,GKY100RRB,Shroud Seal,Two-Bolt Pillow Block,KAS 1,36.51 mm/1.438 in,139.7 mm/5.5 in,37.3 mm/1.469 in,104.78 mm/4 1/8 in,11.1 mm/0.437 in,20.6 mm/0.811 in,11.9 mm,70 mm/2.756 in,28.12 mm/1.107 in,20.62 mm/0.812 in,33.6 mm/1.323 in,1067 N/240 lbf,
YAS1,1 in,35.7 mm / 2.88 in,7800 N / 1750 lbf,15500 N / 3490 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 in,Ball Bearing,GY1100KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS1,36.51 mm/1.437 in,139.7 mm/5.5 in,35.7 mm/2.88 in,104.8 mm/4.126 in,11.1 mm/0.437 in,20.6 mm/0.811 in,15.1 mm/0.59 in,73 mm/2.874 in,34.171 mm/1.345 in,19.901 mm/0.784 in,,7800 N/1750 lbf,15500 N/3490 lbf
YAK1 1/8 SGT,1 1/8 in,42.9 mm / 1.689 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/8 in,Ball Bearing,GY1102KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAK1 1/8 SGT,39.69 mm/1.563 in,157.2 mm/6.189 in,42.9 mm/1.689 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,13.5 mm,81.8 mm/3.22 in,39.1 mm/1.539 in,23.24 mm/0.915 in,40.31 mm/1.5870 in,11300 N/2530 lbf,21600 N/4850 lbf
SAK1 1/8,1 1/8 in,39.7 mm / 1.563 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 1/8 in,Ball Bearing,GYA102RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK1 1/8,39.69 mm/1.563 in,157.2 mm/6.189 in,39.7 mm/1.563 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,13.5 mm,80.2 mm/3.157 in,32.5 mm/1.28 in,22.85 mm/0.9 in,40.1 mm/1.579 in,11300 N/2530 lbf,21600 N/4850 lbf
YAS1 1/8 SGT,1 1/8 in,42.9 mm / 1.689 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/8 in,Ball Bearing,GY1102KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 1/8 SGT,42.86 mm/1.687 in,157.2 mm/6.189 in,42.9 mm/1.689 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,16.7 mm,84.9 mm/3.343 in,39.1 mm/1.539 in,23.24 mm/0.915 in,40.31 mm/1.5870 in,11300 N/2530 lbf,21600 N/4850 lbf
