Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension RV,Dimension SV,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QVPR19V307S,22219 ,3 7/16 in,3.75 in / 95.3 mm,9.25 in / 235 mm,11.25 in / 285.8 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 7/16 in,Imperial,QVPR19V307SB/QVPR19V307SC/QVPR19V307SEB/QVPR19V307SEC/QVPR19V307SEM/QVPR19V307SEN/QVPR19V307SEO/QVPR19V307SET/QVPR19V307SM/QVPR19V307SN/QVPR19V307SO/QVPR19V307ST,Single V-Lock,Four-Bolt Pillow Block,0883450060615/0883450060646/0883450114738/0883450114776/0883450175593/0883450204460/0883450204781/0883450216883/0883450217200/0883450229302/0883450229623/0883450297134,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,9.25 in/235 mm,11.25 in/285.8 mm,2.38 in/60.5 mm,13.63 in/346.2 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.19 in/106.4 mm,0.29 in/7.4 mm,3.69 in/93.7 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPK20V307S,22220 ,3 7/16 in,5 in / 127 mm,12.5 in / 317.5 mm,14 in / 355.6 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 7/16 in,Imperial,QVPK20V307SB/QVPK20V307SC/QVPK20V307SEB/QVPK20V307SEC/QVPK20V307SEM/QVPK20V307SEN/QVPK20V307SEO/QVPK20V307SET/QVPK20V307SM/QVPK20V307SN/QVPK20V307SO/QVPK20V307ST,Single V-Lock,Four-Bolt Pillow Block,0883450054669/0883450054768/0883450207072/0883450207225/0883450219501/0883450219655/0883450231923/0883450232074/0883450240666/0883450240819/0883450245623/0883450245777,5 in/127 mm,9.44 in/239.8 mm,4.9 in/124.5 mm,12.5 in/317.5 mm,14 in/355.6 mm,3.5 in/88.9 mm,16.75 in/425.5 mm,5.5 in/139.7 mm,1.63 in/41.4 mm,0.875 in/24 mm,5.07 in/128.8 mm,0.55 in/14 mm,3.75 in/95.3 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
QVPX19V307S,22219 ,3 7/16 in,4 in / 101.6 mm,10.81 in / 274.6 mm,12.19 in / 309.6 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 7/16 in,Imperial,QVPX19V307SB/QVPX19V307SC/QVPX19V307SEB/QVPX19V307SEC/QVPX19V307SEM/QVPX19V307SEN/QVPX19V307SEO/QVPX19V307SET/QVPX19V307SM/QVPX19V307SN/QVPX19V307SO/QVPX19V307ST,Single V-Lock,Four-Bolt Pillow Block,,4 in/101.6 mm,7.92 in/201.2 mm,4.9 in/124.5 mm,10.81 in/274.6 mm,12.19 in/309.6 mm,3 in/76.2 mm,15 in/381 mm,4.75 in/120.7 mm,1.5 in/38.1 mm,0.75 in/20 mm,4.69 in/119.1 mm,0.31 in/7.9 mm,3.69 in/93.7 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPF19V307S,22219 ,3 7/16 in,3.75 in / 95.3 mm,8.88 in / 225.6 mm,10.88 in / 276.4 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 7/16 in,Imperial,QVPF19V307SB/QVPF19V307SC/QVPF19V307SEB/QVPF19V307SEC/QVPF19V307SEM/QVPF19V307SEN/QVPF19V307SEO/QVPF19V307SET/QVPF19V307SM/QVPF19V307SN/QVPF19V307SO/QVPF19V307ST,Single V-Lock,Four-Bolt Pillow Block,883450049993/883450050029/883450112451/883450112499/883450173698/883450203708/883450204088/883450216128/883450216500/883450228541/883450228923/883450296731,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,8.88 in/225.6 mm,10.88 in/276.4 mm,2 in/50.8 mm,12.3 in/312.4 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.19 in/106.4 mm,0.43 in/10.9 mm,3.63 in/92.1 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPG20V308S,22220 ,3 1/2 in,4.41 in / 112 mm,10.88 in / 276.4 mm,13.38 in / 339.9 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 1/2 in,Imperial,QVPG20V308SB/QVPG20V308SC/QVPG20V308SEB/QVPG20V308SEC/QVPG20V308SEM/QVPG20V308SEN/QVPG20V308SEO/QVPG20V308SET/QVPG20V308SM/QVPG20V308SN/QVPG20V308SO/QVPG20V308ST,Single V-Lock,Four-Bolt Pillow Block,0883450051125/0883450206402/0883450206556/0883450218832/0883450218986/0883450231251/0883450231404/0883450239998/0883450240147/0883450244954/0883450245104/0883450296915,4.41 in/112 mm,8.45 in/214.6 mm,4.9 in/124.5 mm,10.88 in/276.4 mm,13.38 in/339.9 mm,2.38 in/60.5 mm,15 in/381 mm,4.31 in/109.5 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.47 in/113.5 mm,0.47 in/11.9 mm,3.75 in/95.3 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
QVPH20V308S,22220 ,3 1/2 in,4.5 in / 114.3 mm,10.88 in / 276.4 mm,13.38 in / 339.9 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 1/2 in,Imperial,QVPH20V308SB/QVPH20V308SC/QVPH20V308SEB/QVPH20V308SEC/QVPH20V308SEM/QVPH20V308SEN/QVPH20V308SEO/QVPH20V308SET/QVPH20V308SM/QVPH20V308SN/QVPH20V308SO/QVPH20V308ST,Single V-Lock,Four-Bolt Pillow Block,0883450053662/0883450053679/0883450206709/0883450206853/0883450219136/0883450219280/0883450231558/0883450231701/0883450240291/0883450240444/0883450245258/0883450245401,4.5 in/114.3 mm,8.54 in/216.9 mm,4.9 in/124.5 mm,10.88 in/276.4 mm,13.38 in/339.9 mm,2.38 in/60.5 mm,15 in/381 mm,4.31 in/109.5 mm,1.65 in/41.9 mm,0.75 in/20 mm,4.47 in/113.5 mm,0.47 in/11.9 mm,3.75 in/95.3 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
QVPR19V308S,22219 ,3 1/2 in,3.75 in / 95.3 mm,9.25 in / 235 mm,11.25 in / 285.8 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 1/2 in,Imperial,QVPR19V308SB/QVPR19V308SC/QVPR19V308SEB/QVPR19V308SEC/QVPR19V308SEM/QVPR19V308SEN/QVPR19V308SEO/QVPR19V308SET/QVPR19V308SM/QVPR19V308SN/QVPR19V308SO/QVPR19V308ST,Single V-Lock,Four-Bolt Pillow Block,0883450060714/0883450060745/0883450114790/0883450114837/0883450175609/0883450204477/0883450204798/0883450216890/0883450217217/0883450229319/0883450229630/0883450297141,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,9.25 in/235 mm,11.25 in/285.8 mm,2.38 in/60.5 mm,13.63 in/346.2 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.19 in/106.4 mm,0.29 in/7.4 mm,3.69 in/93.7 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPK20V308S,22220 ,3 1/2 in,5 in / 127 mm,12.5 in / 317.5 mm,14 in / 355.6 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 1/2 in,Imperial,QVPK20V308SB/QVPK20V308SC/QVPK20V308SEB/QVPK20V308SEC/QVPK20V308SEM/QVPK20V308SEN/QVPK20V308SEO/QVPK20V308SET/QVPK20V308SM/QVPK20V308SN/QVPK20V308SO/QVPK20V308ST,Single V-Lock,Four-Bolt Pillow Block,0883450054867/0883450054966/0883450207089/0883450207232/0883450219518/0883450219662/0883450231930/0883450232081/0883450240673/0883450240826/0883450245630/0883450245784,5 in/127 mm,9.44 in/239.8 mm,4.9 in/124.5 mm,12.5 in/317.5 mm,14 in/355.6 mm,3.5 in/88.9 mm,16.75 in/425.5 mm,5.5 in/139.7 mm,1.63 in/41.4 mm,0.875 in/24 mm,5.07 in/128.8 mm,0.55 in/14 mm,3.75 in/95.3 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
QVPX19V308S,22219 ,3 1/2 in,4 in / 101.6 mm,10.81 in / 274.6 mm,12.19 in / 309.6 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 1/2 in,Imperial,QVPX19V308SB/QVPX19V308SC/QVPX19V308SEB/QVPX19V308SEC/QVPX19V308SEM/QVPX19V308SEN/QVPX19V308SEO/QVPX19V308SET/QVPX19V308SM/QVPX19V308SN/QVPX19V308SO/QVPX19V308ST,Single V-Lock,Four-Bolt Pillow Block,,4 in/101.6 mm,7.92 in/201.2 mm,4.9 in/124.5 mm,10.81 in/274.6 mm,12.19 in/309.6 mm,3 in/76.2 mm,15 in/381 mm,4.75 in/120.7 mm,1.5 in/38.1 mm,0.75 in/20 mm,4.69 in/119.1 mm,0.31 in/7.9 mm,3.69 in/93.7 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPF19V308S,22219 ,3 1/2 in,3.75 in / 95.3 mm,8.88 in / 225.6 mm,10.88 in / 276.4 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 1/2 in,Imperial,QVPF19V308SB/QVPF19V308SC/QVPF19V308SEB/QVPF19V308SEC/QVPF19V308SEM/QVPF19V308SEN/QVPF19V308SEO/QVPF19V308SET/QVPF19V308SM/QVPF19V308SN/QVPF19V308SO/QVPF19V308ST,Single V-Lock,Four-Bolt Pillow Block,883450050098/883450050128/883450112512/883450112550/883450173704/883450203715/883450204095/883450216135/883450216517/883450228558/883450228930/883450296748,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,8.88 in/225.6 mm,10.88 in/276.4 mm,2 in/50.8 mm,12.3 in/312.4 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.19 in/106.4 mm,0.43 in/10.9 mm,3.63 in/92.1 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVPG22V311S,22222 ,3 11/16 in,4.92 in / 125 mm,11.88 in / 301.8 mm,14.5 in / 368.3 mm,147000 lbf / 653000 N,125000 lbf / 555000 N,,Mounted Bearing,22222,3 11/16 in,Imperial,QVPG22V311SB/QVPG22V311SC/QVPG22V311SEB/QVPG22V311SEC/QVPG22V311SEM/QVPG22V311SEN/QVPG22V311SEO/QVPG22V311SET/QVPG22V311SM/QVPG22V311SN/QVPG22V311SO/QVPG22V311ST,Single V-Lock,Four-Bolt Pillow Block,0883450147309/0883450147552/0883450152518/0883450152662/0883450174824/0883450174978/0883450183727/0883450183871/0883450264693/0883450265003/0883450282475/0883450282628,4.92 in/125 mm,9.38 in/238.3 mm,5.5 in/139.7 mm,11.88 in/301.8 mm,14.5 in/368.3 mm,2.75 in/69.9 mm,16.13 in/409.7 mm,4.75 in/120.7 mm,1.75 in/44.5 mm,0.75 in/20 mm,4.94 in/125.5 mm,0.39 in/9.9 mm,4.13 in/104.9 mm,147000 lbf/653000 N,125000 lbf/555000 N,0.25,2.73,4.06,900 rpm,1700 rpm,600 rpm,900 rpm,1200 rpm,600 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0053,0.0067,0.0053 in/0.135 mm,0.0067 in/0.170 mm
QVPH22V311S,22222 ,3 11/16 in,4.94 in / 125.5 mm,11.88 in / 301.8 mm,14.5 in / 368.3 mm,147000 lbf / 653000 N,125000 lbf / 555000 N,,Mounted Bearing,22222,3 11/16 in,Imperial,QVPH22V311SB/QVPH22V311SC/QVPH22V311SEB/QVPH22V311SEC/QVPH22V311SEM/QVPH22V311SEN/QVPH22V311SEO/QVPH22V311SET/QVPH22V311SM/QVPH22V311SN/QVPH22V311SO/QVPH22V311ST,Single V-Lock,Four-Bolt Pillow Block,0883450148306/0883450148542/0883450153119/0883450153270/0883450175425/0883450176217/0883450185325/0883450185479/0883450278270/0883450278621/0883450283076/0883450283229,4.94 in/125.5 mm,9.38 in/238.3 mm,5.5 in/139.7 mm,11.88 in/301.8 mm,14.5 in/368.3 mm,2.75 in/69.9 mm,16 in/406.4 mm,4.75 in/120.7 mm,1.77 in/45 mm,0.75 in/20 mm,4.94 in/125.5 mm,0.39 in/9.9 mm,4.13 in/104.9 mm,147000 lbf/653000 N,125000 lbf/555000 N,0.25,2.73,4.06,900 rpm,1700 rpm,600 rpm,900 rpm,1200 rpm,600 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0053,0.0067,0.0053 in/0.135 mm,0.0067 in/0.170 mm
QVPK22V311S,22222 ,3 11/16 in,5-3/4 in / 146.1 mm,13.94 in / 354.1 mm,15.56 in / 395.2 mm,147000 lbf / 653000 N,125000 lbf / 555000 N,,Mounted Bearing,22222,3 11/16 in,Imperial,QVPK22V311SB/QVPK22V311SC/QVPK22V311SEB/QVPK22V311SEC/QVPK22V311SEM/QVPK22V311SEN/QVPK22V311SEO/QVPK22V311SET/QVPK22V311SM/QVPK22V311SN/QVPK22V311SO/QVPK22V311ST,Single V-Lock,Four-Bolt Pillow Block,0883450149297/0883450149402/0883450153768/0883450153850/0883450176859/0883450176941/0883450186803/0883450186971/0883450279512/0883450279604/0883450283717/0883450283809,5-3/4 in/146.1 mm,10.78 in/273.8 mm,5.5 in/139.7 mm,13.94 in/354.1 mm,15.56 in/395.2 mm,4 in/101.6 mm,18.5 in/469.9 mm,6-1/4 in/158.8 mm,1.8 in/45.7 mm,1 in/24 mm,5.45 in/138.4 mm,0.19 in/4.8 mm,4.13 in/104.9 mm,147000 lbf/653000 N,125000 lbf/555000 N,0.25,2.73,4.06,900 rpm,1700 rpm,600 rpm,900 rpm,1200 rpm,600 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0053,0.0067,0.0053 in/0.135 mm,0.0067 in/0.170 mm
QVPX22V311S,22222 ,3 11/16 in,5 in / 127 mm,12.5 in / 317.5 mm,14 in / 355.6 mm,147000 lbf / 653000 N,125000 lbf / 555000 N,,Mounted Bearing,22222,3 11/16 in,Imperial,QVPX22V311SB/QVPX22V311SC/QVPX22V311SEB/QVPX22V311SEC/QVPX22V311SEM/QVPX22V311SEN/QVPX22V311SEO/QVPX22V311SET/QVPX22V311SM/QVPX22V311SN/QVPX22V311SO/QVPX22V311ST,Single V-Lock,Four-Bolt Pillow Block,,5 in/127 mm,9.44 in/239.8 mm,5.5 in/139.7 mm,12.5 in/317.5 mm,14 in/355.6 mm,3.5 in/88.9 mm,16.75 in/425.5 mm,5.5 in/139.7 mm,1.63 in/41.4 mm,0.875 in/24 mm,5.32 in/135.1 mm,0.25 in/6.4 mm,4.13 in/104.9 mm,147000 lbf/653000 N,125000 lbf/555000 N,0.25,2.73,4.06,900 rpm,1700 rpm,600 rpm,900 rpm,1200 rpm,600 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0053,0.0067,0.0053 in/0.135 mm,0.0067 in/0.170 mm
QVPF22V311S,22222 ,3 11/16 in,4.25 in / 108 mm,10.88 in / 276.4 mm,13.38 in / 339.9 mm,147000 lbf / 653000 N,125000 lbf / 555000 N,,Mounted Bearing,22222,3 11/16 in,Imperial,QVPF22V311SB/QVPF22V311SC/QVPF22V311SEB/QVPF22V311SEC/QVPF22V311SEM/QVPF22V311SEN/QVPF22V311SEO/QVPF22V311SET/QVPF22V311SM/QVPF22V311SN/QVPF22V311SO/QVPF22V311ST,Single V-Lock,Four-Bolt Pillow Block,883450088510/883450088848/883450099776/883450100229/883450108454/883450108560/883450115278/883450116091/883450130677/883450130745/883450139168/883450139236,4.25 in/108 mm,8.78 in/223 mm,5.5 in/139.7 mm,10.88 in/276.4 mm,13.38 in/339.9 mm,2-1/4 in/57.2 mm,14.88 in/378 mm,4.31 in/109.5 mm,1.4 in/35.6 mm,0.75 in/20 mm,4.72 in/119.9 mm,0.49 in/12.45 mm,4.06 in/103.1 mm,147000 lbf/653000 N,125000 lbf/555000 N,0.25,2.73,4.06,900 rpm,1700 rpm,600 rpm,900 rpm,1200 rpm,600 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0053,0.0067,0.0053 in/0.135 mm,0.0067 in/0.170 mm
QVPG22V312S,22222 ,3 3/4 in,4.92 in / 125 mm,11.88 in / 301.8 mm,14.5 in / 368.3 mm,147000 lbf / 653000 N,125000 lbf / 555000 N,,Mounted Bearing,22222,3 3/4 in,Imperial,QVPG22V312SB/QVPG22V312SC/QVPG22V312SEB/QVPG22V312SEC/QVPG22V312SEM/QVPG22V312SEN/QVPG22V312SEO/QVPG22V312SET/QVPG22V312SM/QVPG22V312SN/QVPG22V312SO/QVPG22V312ST,Single V-Lock,Four-Bolt Pillow Block,0883450147330/0883450147569/0883450152525/0883450152679/0883450174831/0883450174985/0883450183734/0883450183888/0883450264709/0883450265010/0883450282482/0883450282635,4.92 in/125 mm,9.38 in/238.3 mm,5.5 in/139.7 mm,11.88 in/301.8 mm,14.5 in/368.3 mm,2.75 in/69.9 mm,16.13 in/409.7 mm,4.75 in/120.7 mm,1.75 in/44.5 mm,0.75 in/20 mm,4.94 in/125.5 mm,0.39 in/9.9 mm,4.13 in/104.9 mm,147000 lbf/653000 N,125000 lbf/555000 N,0.25,2.73,4.06,900 rpm,1700 rpm,600 rpm,900 rpm,1200 rpm,600 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0053,0.0067,0.0053 in/0.135 mm,0.0067 in/0.170 mm
QVPH22V312S,22222 ,3 3/4 in,4.94 in / 125.5 mm,11.88 in / 301.8 mm,14.5 in / 368.3 mm,147000 lbf / 653000 N,125000 lbf / 555000 N,,Mounted Bearing,22222,3 3/4 in,Imperial,QVPH22V312SB/QVPH22V312SC/QVPH22V312SEB/QVPH22V312SEC/QVPH22V312SEM/QVPH22V312SEN/QVPH22V312SEO/QVPH22V312SET/QVPH22V312SM/QVPH22V312SN/QVPH22V312SO/QVPH22V312ST,Single V-Lock,Four-Bolt Pillow Block,0883450148320/0883450148559/0883450153126/0883450153287/0883450175432/0883450176279/0883450185332/0883450185486/0883450278287/0883450278638/0883450283083/0883450283236,4.94 in/125.5 mm,9.38 in/238.3 mm,5.5 in/139.7 mm,11.88 in/301.8 mm,14.5 in/368.3 mm,2.75 in/69.9 mm,16 in/406.4 mm,4.75 in/120.7 mm,1.77 in/45 mm,0.75 in/20 mm,4.94 in/125.5 mm,0.39 in/9.9 mm,4.13 in/104.9 mm,147000 lbf/653000 N,125000 lbf/555000 N,0.25,2.73,4.06,900 rpm,1700 rpm,600 rpm,900 rpm,1200 rpm,600 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0053,0.0067,0.0053 in/0.135 mm,0.0067 in/0.170 mm
QVPK22V312S,22222 ,3 3/4 in,5-3/4 in / 146.1 mm,13.94 in / 354.1 mm,15.56 in / 395.2 mm,147000 lbf / 653000 N,125000 lbf / 555000 N,,Mounted Bearing,22222,3 3/4 in,Imperial,QVPK22V312SB/QVPK22V312SC/QVPK22V312SEB/QVPK22V312SEC/QVPK22V312SEM/QVPK22V312SEN/QVPK22V312SEO/QVPK22V312SET/QVPK22V312SM/QVPK22V312SN/QVPK22V312SO/QVPK22V312ST,Single V-Lock,Four-Bolt Pillow Block,0883450149327/0883450149419/0883450153775/0883450153867/0883450176866/0883450176958/0883450186810/0883450186988/0883450279529/0883450279611/0883450283724/0883450283816,5-3/4 in/146.1 mm,10.78 in/273.8 mm,5.5 in/139.7 mm,13.94 in/354.1 mm,15.56 in/395.2 mm,4 in/101.6 mm,18.5 in/469.9 mm,6-1/4 in/158.8 mm,1.8 in/45.7 mm,1 in/24 mm,5.45 in/138.4 mm,0.19 in/4.8 mm,4.13 in/104.9 mm,147000 lbf/653000 N,125000 lbf/555000 N,0.25,2.73,4.06,900 rpm,1700 rpm,600 rpm,900 rpm,1200 rpm,600 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0053,0.0067,0.0053 in/0.135 mm,0.0067 in/0.170 mm
QVPX22V312S,22222 ,3 3/4 in,5 in / 127 mm,12.5 in / 317.5 mm,14 in / 355.6 mm,147000 lbf / 653000 N,125000 lbf / 555000 N,,Mounted Bearing,22222,3 3/4 in,Imperial,QVPX22V312SB/QVPX22V312SC/QVPX22V312SEB/QVPX22V312SEC/QVPX22V312SEM/QVPX22V312SEN/QVPX22V312SEO/QVPX22V312SET/QVPX22V312SM/QVPX22V312SN/QVPX22V312SO/QVPX22V312ST,Single V-Lock,Four-Bolt Pillow Block,,5 in/127 mm,9.44 in/239.8 mm,5.5 in/139.7 mm,12.5 in/317.5 mm,14 in/355.6 mm,3.5 in/88.9 mm,16.75 in/425.5 mm,5.5 in/139.7 mm,1.63 in/41.4 mm,0.875 in/24 mm,5.32 in/135.1 mm,0.25 in/6.4 mm,4.13 in/104.9 mm,147000 lbf/653000 N,125000 lbf/555000 N,0.25,2.73,4.06,900 rpm,1700 rpm,600 rpm,900 rpm,1200 rpm,600 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0053,0.0067,0.0053 in/0.135 mm,0.0067 in/0.170 mm
QVPF22V312S,22222 ,3 3/4 in,4.25 in / 108 mm,10.88 in / 276.4 mm,13.38 in / 339.9 mm,147000 lbf / 653000 N,125000 lbf / 555000 N,,Mounted Bearing,22222,3 3/4 in,Imperial,QVPF22V312SB/QVPF22V312SC/QVPF22V312SEB/QVPF22V312SEC/QVPF22V312SEM/QVPF22V312SEN/QVPF22V312SEO/QVPF22V312SET/QVPF22V312SM/QVPF22V312SN/QVPF22V312SO/QVPF22V312ST,Single V-Lock,Four-Bolt Pillow Block,883450088541/883450088916/883450099929/883450100250/883450108461/883450108577/883450115704/883450116107/883450130684/883450130752/883450139175/883450139243,4.25 in/108 mm,8.78 in/223 mm,5.5 in/139.7 mm,10.88 in/276.4 mm,13.38 in/339.9 mm,2-1/4 in/57.2 mm,14.88 in/378 mm,4.31 in/109.5 mm,1.4 in/35.6 mm,0.75 in/20 mm,4.72 in/119.9 mm,0.49 in/12.45 mm,4.06 in/103.1 mm,147000 lbf/653000 N,125000 lbf/555000 N,0.25,2.73,4.06,900 rpm,1700 rpm,600 rpm,900 rpm,1200 rpm,600 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0053,0.0067,0.0053 in/0.135 mm,0.0067 in/0.170 mm
QVPG22V315S,22222 ,3 15/16 in,4.92 in / 125 mm,11.88 in / 301.8 mm,14.5 in / 368.3 mm,147000 lbf / 653000 N,125000 lbf / 555000 N,,Mounted Bearing,22222,3 15/16 in,Imperial,QVPG22V315SB/QVPG22V315SC/QVPG22V315SEB/QVPG22V315SEC/QVPG22V315SEM/QVPG22V315SEN/QVPG22V315SEO/QVPG22V315SET/QVPG22V315SM/QVPG22V315SN/QVPG22V315SO/QVPG22V315ST,Single V-Lock,Four-Bolt Pillow Block,0883450051309/0883450206426/0883450206570/0883450218856/0883450219006/0883450231275/0883450231428/0883450240017/0883450240161/0883450244978/0883450245128/0883450296939,4.92 in/125 mm,9.38 in/238.3 mm,5.5 in/139.7 mm,11.88 in/301.8 mm,14.5 in/368.3 mm,2.75 in/69.9 mm,16.13 in/409.7 mm,4.75 in/120.7 mm,1.75 in/44.5 mm,0.75 in/20 mm,4.94 in/125.5 mm,0.39 in/9.9 mm,4.13 in/104.9 mm,147000 lbf/653000 N,125000 lbf/555000 N,0.25,2.73,4.06,900 rpm,1700 rpm,600 rpm,900 rpm,1200 rpm,600 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0053,0.0067,0.0053 in/0.135 mm,0.0067 in/0.170 mm
