,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,PDF_Page
0,BearingPart No.<s>(1)(2)</s>,Shaft Dia.,Bearing No.,A,B,C,D min.,D max.,F,G,H,J,L,Rv<s>(1)</s>,Rvv,Sv<s>(1)</s>,Svv,Wt.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,94
4,QVPL19V080S / QVVPL19V080S,80mm ,22219,95.3 / 3.75,195.3 / 7.69,124.5 / 4.90,235.0 / 9.25,273.1 / 10.75,330.2 / 13.00,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,102.1 / 4.02,8.4 / 0.33,15.5 / 0.61,93.7 / 3.69,117.6 / 4.63,20.4 / 45,22219,22219,22219,22219,22219,22219,22219,97
5,QVPL19V085S / QVVPL19V085S,85mm ,22219,95.3 / 3.75,195.3 / 7.69,124.5 / 4.90,235.0 / 9.25,273.1 / 10.75,330.2 / 13.00,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,102.1 / 4.02,8.4 / 0.33,15.5 / 0.61,93.7 / 3.69,117.6 / 4.63,20.4 / 45,22219,22219,22219,22219,22219,22219,22219,97
6,QVPL19V307S / QVVPL19V307S,3 7/16in. ,22219,95.3 / 3.75,195.3 / 7.69,124.5 / 4.90,235.0 / 9.25,273.1 / 10.75,330.2 / 13.00,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,102.1 / 4.02,8.4 / 0.33,15.5 / 0.61,93.7 / 3.69,117.6 / 4.63,20.4 / 45,22219,22219,22219,22219,22219,22219,22219,97
7,QVPL19V308S / QVVPL19V308S,3 1/2in. ,22219,95.3 / 3.75,195.3 / 7.69,124.5 / 4.90,235.0 / 9.25,273.1 / 10.75,330.2 / 13.00,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,102.1 / 4.02,8.4 / 0.33,15.5 / 0.61,93.7 / 3.69,117.6 / 4.63,20.4 / 45,22219,22219,22219,22219,22219,22219,22219,97
8,QVPL19V090S / QVVPL19V090S,90mm ,22219,95.3 / 3.75,195.3 / 7.69,124.5 / 4.90,235.0 / 9.25,273.1 / 10.75,330.2 / 13.00,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,102.1 / 4.02,8.4 / 0.33,15.5 / 0.61,93.7 / 3.69,117.6 / 4.63,20.4 / 45,22219,22219,22219,22219,22219,22219,22219,97
9,QVPL22V311S / QVVPL22V311S,3 11/16in. ,22222,1084.2 / 5,2238.7 / 8,139.7 / 5.50,255.0 / 10.04,320.0 / 12.60,362.0 / 14.25,102.6 / 4.04,53.8 / 2.12,24mm   1in.,116.6 / 4.59,11.5 / 0.45,14.0 / 0.55,104.9 / 4.13,130.3 / 5.13,26.8 / 59,22222,22222,22222,22222,22222,22222,22222,97
10,QVPL22V312S / QVVPL22V312S,3 3/4in. ,22222,1084.2 / 5,2238.7 / 8,139.7 / 5.50,255.0 / 10.04,320.0 / 12.60,362.0 / 14.25,102.6 / 4.04,53.8 / 2.12,24mm   1in.,116.6 / 4.59,11.5 / 0.45,14.0 / 0.55,104.9 / 4.13,130.3 / 5.13,26.8 / 59,22222,22222,22222,22222,22222,22222,22222,97
11,QVPL22V100S / QVVPL22V100S,100mm ,22222,1084.2 / 5,2238.7 / 8,139.7 / 5.50,255.0 / 10.04,320.0 / 12.60,362.0 / 14.25,102.6 / 4.04,53.8 / 2.12,24mm   1in.,116.6 / 4.59,11.5 / 0.45,14.0 / 0.55,104.9 / 4.13,130.3 / 5.13,26.8 / 59,22222,22222,22222,22222,22222,22222,22222,97
12,QVPL22V315S / QVVPL22V315S,3 15/16in. ,22222,1084.2 / 5,2238.7 / 8,139.7 / 5.50,255.0 / 10.04,320.0 / 12.60,362.0 / 14.25,102.6 / 4.04,53.8 / 2.12,24mm   1in.,116.6 / 4.59,11.5 / 0.45,14.0 / 0.55,104.9 / 4.13,130.3 / 5.13,26.8 / 59,22222,22222,22222,22222,22222,22222,22222,97
13,QVPL22V400S / QVVPL22V400S,4in. ,22222,1084.2 / 5,2238.7 / 8,139.7 / 5.50,255.0 / 10.04,320.0 / 12.60,362.0 / 14.25,102.6 / 4.04,53.8 / 2.12,24mm   1in.,116.6 / 4.59,11.5 / 0.45,14.0 / 0.55,104.9 / 4.13,130.3 / 5.13,26.8 / 59,22222,22222,22222,22222,22222,22222,22222,97
