Part Number,Shaft Size,Seal Type,Bearing Type,Cr - Dynamic Load Rating,Cor - Static Load Rating,Maximum Speed,CAD,Shaft Size,Seal Type,Bearing Type,Support Type,Series Type,Pillow/Plummer Block Style,Bolt Size,Bearing Number,Housing,Support Reference,Bearing UPC,Dimension H,Dimension H2,Dimension J1,Dimension J2,Dimension L,Dimension M,Housing Width,Cr - Dynamic Load Rating,Cor - Static Load Rating,Maximum Speed,Note,Dimension K
LSE107BXHSAFQHTPS,1 7/16 in,High Temperature Packing ,Split Cylindrical Expansion Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,1 7/16 in,High Temperature Packing,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE107BX,LSE107HX,SAFQ01-2B,013992025371,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.3 in/84 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE107BRHSAFQHTPS,1 7/16 in,High Temperature Packing ,Split Cylindrical Retained Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,1 7/16 in,High Temperature Packing,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE107BR,LSE107HR,SAFQ01-2B,013992025364,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.3 in/84 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE107BXHSAFQATL,1 7/16 in,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,1 7/16 in,Aluminium Triple Labyrinth,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE107BX,LS1HXTL,SAFQ01-2B,013992025371,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.4 in/86 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE107BRHSAFQATL,1 7/16 in,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,1 7/16 in,Aluminium Triple Labyrinth,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE107BR,LS1HRTL,SAFQ01-2B,013992025364,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.4 in/86 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE107BXHSAFQFS,1 7/16 in,Felt Type ,Split Cylindrical Expansion Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,1 7/16 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE107BX,LSE107HX,SAFQ01-2B,013992025371,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.3 in/84 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE107BRHSAFQFS,1 7/16 in,Felt Type ,Split Cylindrical Retained Type ,14296 lbf / 63500 N,14724 lbf / 65400 N,5400 rpm,,1 7/16 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE107BR,LSE107HR,SAFQ01-2B,013992025364,2-1/4 in,5.2 in,7 in,6-1/4 in,8-1/4 in,2-3/16 in,3.3 in/84 mm,14296 lbf/63500 N,14724 lbf/65400 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE111BXHSAFQ,1 11/16 in,Felt Type ,Split Cylindrical Expansion Type ,18694 lbf / 83100 N,19643 lbf / 87300 N,4630 rpm,,1 11/16 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE111BX,LSE111HX,SAFQ02-2B,013992025517,2-1/2 in,5.9 in,7 in,6-1/2 in,8-1/4 in,2-3/8 in,3.8 in/96 mm,18694 lbf/83100 N,19643 lbf/87300 N,4630 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE111BXHSAFQA,1 11/16 in,Felt Type ,Split Cylindrical Expansion Type ,18694 lbf / 83100 N,19643 lbf / 87300 N,4630 rpm,,1 11/16 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE111BX,LSE111HX,SAFQ02A-2B,013992025517,2-3/4 in,6.15 in,8-1/4 in,7-3/8 in,9-5/8 in,2-3/4 in,3.8 in/96 mm,18694 lbf/83100 N,19643 lbf/87300 N,4630 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE111BRHSAFQ,1 11/16 in,Felt Type ,Split Cylindrical Retained Type ,18694 lbf / 83100 N,19643 lbf / 87300 N,4630 rpm,,1 11/16 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 1/2""",LSE111BR,LSE111HR,SAFQ02-2B,013992025500,2-1/2 in,5.9 in,7 in,6-1/2 in,8-1/4 in,2-3/8 in,3.8 in/96 mm,18694 lbf/83100 N,19643 lbf/87300 N,4630 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE111BRHSAFQA,1 11/16 in,Felt Type ,Split Cylindrical Retained Type ,18694 lbf / 83100 N,19643 lbf / 87300 N,4630 rpm,,1 11/16 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE111BR,LSE111HR,SAFQ02A-2B,013992025500,2-3/4 in,6.15 in,8-1/4 in,7-3/8 in,9-5/8 in,2-3/4 in,3.8 in/96 mm,18694 lbf/83100 N,19643 lbf/87300 N,4630 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
